userid,created_at,duration,genre,id,last_modified,license,likes_count,release_date,reposts_count,title,published_at,display_date,track_count
20865753,2018-06-16 12:15:31+00:00,5436590,,541697055,2018-06-16 12:15:31+00:00,all-rights-reserved,0,,0,sean macabe,2018-06-16 12:15:31+00:00,2018-06-16 12:15:31+00:00,1
20865753,2018-06-16 12:14:48+00:00,4165143,,541696803,2018-06-16 12:14:48+00:00,all-rights-reserved,0,,0,remi live,2018-06-16 12:14:48+00:00,2018-06-16 12:14:48+00:00,1
195687012,2015-12-27 04:08:19+00:00,954286,,179340379,2015-12-27 04:08:23+00:00,all-rights-reserved,0,,0,music,,2015-12-27 04:08:19+00:00,2
401037186,2019-03-25 19:57:24+00:00,11278477,Lil peep #Night Lovell  # $uicideboy$  #Lil Baby,737580168,2020-01-28 18:57:57+00:00,all-rights-reserved,1,,0,New,2019-03-25 19:57:24+00:00,2019-03-25 19:57:24+00:00,46
67835192,2015-03-06 00:04:30+00:00,87648,,86694164,2015-03-06 00:04:30+00:00,all-rights-reserved,1,,0,not tonite,,2015-03-06 00:04:30+00:00,0
67835192,2015-02-24 02:57:41+00:00,132243,,83786654,2015-02-24 02:57:41+00:00,all-rights-reserved,0,,0,doc,,2015-02-24 02:57:41+00:00,1
67835192,2015-02-23 15:54:42+00:00,155520,,83625209,2015-02-23 15:54:42+00:00,all-rights-reserved,0,,0,vocab,,2015-02-23 15:54:42+00:00,1
67835192,2015-02-23 15:53:27+00:00,0,,83624895,2015-02-23 15:53:27+00:00,all-rights-reserved,0,,0,riot,,2015-02-23 15:53:27+00:00,0
67835192,2015-01-17 15:36:18+00:00,180366,,72967733,2015-01-17 15:36:18+00:00,all-rights-reserved,0,,0,gof,,2015-01-17 15:36:18+00:00,1
67835192,2014-10-25 12:34:46+00:00,176132,,56515124,2014-10-25 12:34:46+00:00,all-rights-reserved,0,,0,ammi,,2014-10-25 12:34:46+00:00,1
67835192,2014-10-16 02:06:46+00:00,89660,,55231555,2014-10-16 02:06:46+00:00,all-rights-reserved,0,,0,chatta,,2014-10-16 02:06:46+00:00,1
67835192,2014-08-28 00:41:58+00:00,222845,,48595286,2014-08-28 00:41:59+00:00,all-rights-reserved,0,,0,yeah frodto,,2014-08-28 00:41:58+00:00,1
67835192,2014-08-24 05:52:59+00:00,226110,,48123996,2014-08-24 05:53:00+00:00,all-rights-reserved,0,,0,ammi,,2014-08-24 05:52:59+00:00,1
26468100,2015-01-18 11:59:34+00:00,14425077,,73204582,2015-01-18 11:59:34+00:00,all-rights-reserved,0,,0,moncoeur Office,,2015-01-18 11:59:34+00:00,5
45016378,2014-01-17 06:48:02+00:00,791293,,20339500,2014-01-17 06:48:02+00:00,all-rights-reserved,0,,0,#entahlahnak,,2014-01-17 06:48:02+00:00,3
765854644,2020-01-15 08:59:37+00:00,11514534,,966785581,2020-08-20 16:01:33+00:00,all-rights-reserved,0,,0,Rody,2020-01-15 08:59:37+00:00,2020-01-15 08:59:37+00:00,26
282598524,2017-01-16 14:17:43+00:00,5852186,,292218618,2017-01-16 14:17:43+00:00,all-rights-reserved,1,,0,גאד,2017-01-16 14:17:43+00:00,2017-01-16 14:17:43+00:00,24
182243855,2015-11-13 21:29:14+00:00,8425626,,165145408,2015-11-13 21:29:16+00:00,all-rights-reserved,1,,0,saed mohamed,,2015-11-13 21:29:14+00:00,17
